name,label,group,n_used,verdict,p_structure,p_boot,dim2,atom,z_cyc3,z_cyc7,z_cyc8,z_cyc12,z_hash,acf,pe,fft,quantized,uniq_ratio,source,note
sine_plus_noise,Regular,periodic,10000,Noise,0.0033222591362126247,0.58,nan,0.9133726957227206,2.771672426137019,6.116209535146646,12.609349309251645,2.0603047703870816,1.8016086000328917,0.2890238632798938,0.9864414872266548,0.27962672439944686,False,1.0,synthetic,
sine_pure,Regular,periodic,10000,Regular,0.0033222591362126247,0.35,0.7021784610489484,0.15272244355909695,168.8595631152964,243.64277907780493,736.6571957305129,224.33455336857233,12.447315620990903,1.000000232684685,0.3411882792993564,0.9999999843029613,True,0.101,synthetic,
rr_chf201,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.2367461218237407,0.36126910771418413,46.602665227147526,67.25592934639221,182.73489229274546,45.06138707933577,0.5023486679797649,0.44376748856841025,0.975324553522451,0.1813210649824926,True,0.0079,PhysioNet chf2db chf201,HRV CHF
rr_chf202,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.18235641218824813,0.6267029972752044,82.8555002248637,115.3283641081351,303.11020816896166,78.96585137984648,1.946090035454977,0.42138976022387514,0.9841128317816746,0.15237243313340235,True,0.0064,PhysioNet chf2db chf202,HRV CHF
rr_chf203,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.14304007732527632,0.5661881977671451,186.53104178209767,233.02109854770094,701.5201189295956,183.42906096635193,7.392422577761262,0.8039958851293837,0.9706319473522985,0.5628369295930165,True,0.0048,PhysioNet chf2db chf203,HRV CHF
rr_chf204,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.1997194612124154,0.528604118993135,134.18334488811385,188.32932658428,515.0696653811029,125.2134807187548,4.307313362821189,0.4907078309846915,0.9882588788422582,0.049991225505571654,True,0.0078,PhysioNet chf2db chf204,HRV CHF
rr_chf205,unknown,physiology,10000,NonlinStoch,0.0033222591362126247,0.01,0.3323946551321141,0.9701882845188285,85.53455776839255,133.55283883920532,335.2376498551277,76.1117225687184,3.288223891921524,0.21615859715316127,0.9797578887489231,0.03939747052644392,True,0.0072,PhysioNet chf2db chf205,HRV CHF
rr_nsr001,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.12880555777074448,0.32170923379174854,45.659628454303856,45.98777614808795,116.06034006037804,30.460378501768304,2.6387709913101043,0.2856158076831478,0.9488939498183054,0.03604210266236654,True,0.005,PhysioNet nsr2db nsr001,HRV healthy
rr_nsr002,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.25054343387959166,0.2589334300743697,46.06885786973511,52.36225906820726,124.80953788907524,39.0114641157113,2.924261296799691,0.3959922553685955,0.972972606857535,0.12481268431456409,True,0.0079,PhysioNet nsr2db nsr002,HRV healthy
rr_nsr003,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.2600520068714449,0.5039004849251528,62.24616786089033,88.23203402341262,222.21270139348303,59.88375337152945,1.8450681678100478,0.5117672346439995,0.9829490752869497,0.3229714188905331,True,0.0088,PhysioNet nsr2db nsr003,HRV healthy
rr_nsr004,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.2570569033675488,0.335354581084079,29.088807893698473,42.54464915207672,101.45636620509099,29.47425749619184,0.33473001826450094,0.11121099062290776,0.9931034413794732,0.0383595288763534,True,0.0073,PhysioNet nsr2db nsr004,HRV healthy
rr_nsr005,unknown,physiology,10000,Chaos,0.0033222591362126247,0.01,0.3510616407210384,0.286474781196427,129.00324269554955,170.74430296635356,496.22744510478356,128.46748103895953,4.891158670191895,0.6041224507857501,0.9555458866635749,0.368863599866266,True,0.0127,PhysioNet nsr2db nsr005,HRV healthy
ar1_phi0.3,Noise,stochastic,10000,Noise,0.046511627906976744,0.06,nan,0.9907145105445389,0.09244577786437708,1.9265291250837808,1.1855048433860595,3.6439258438976703,-0.13988219627254472,0.027736751094860013,0.9989059797003679,0.005485923974086987,False,1.0,synthetic,
ar1_phi0.7,Noise,stochastic,10000,Noise,0.9003322259136213,,nan,0.9287817818042847,0.1842831675758528,-0.5180769311362016,0.7480033330993102,0.8314127900148885,0.8727207475363187,0.027969987441868925,0.9990581615170123,0.005346699240680184,False,1.0,synthetic,
ar1_phi0.9,Noise,stochastic,10000,Noise,0.15614617940199335,,nan,0.8223521475151788,1.912463024161408,2.6460800614764195,1.0508192724387235,2.8219627898852635,0.3804710874405802,0.025777108119772855,0.9987558550323491,0.004945158388831881,False,1.0,synthetic,
arma22,Noise,stochastic,10000,Noise,0.0033222591362126247,0.66,nan,0.9666373814511949,18.6194620719808,26.243783000927273,51.473033612940085,15.344280385019669,1.8175871695781156,0.35874006098261296,0.948993274910803,0.007813946687684346,False,1.0,synthetic,
fgn_h0.8,Noise,stochastic,10000,Noise,0.0033222591362126247,1.0,1.5065448068129517,0.20996931130968496,8.92216857293444,15.224301137521586,25.950201870419647,8.163178088626667,1.893004825471764,0.15199543234165358,0.9988516047914477,0.13759866746457472,False,1.0,synthetic,approx long-memory
garch_returns,Noise,stochastic,10000,Noise,0.36212624584717606,,nan,0.9997531473710194,2.173631016026138,0.7499004394507262,1.5624870292569994,1.9551038680389354,-0.45629150095373433,0.03318154390310556,0.9981804532755036,0.006226084665279679,False,1.0,synthetic,
garch_volatility,Noise,stochastic,10000,Chaos,0.0033222591362126247,0.01,1.4935634593427995,0.40499109538086975,17.493065059223177,24.517227306768586,52.44625285519245,14.733668506298976,1.8154597219853799,0.024771206365999603,0.9971841533694894,0.006083847269465316,False,1.0,synthetic,
random_walk,Noise,stochastic,10000,Noise,0.013289036544850499,1.0,1.4330879023740528,0.17134692408082444,4.192764683317455,4.57818907778688,5.863335445337944,3.743337709187156,0.48927623122100516,0.08379774167843314,0.9989514212541276,0.029439884710532042,False,1.0,synthetic,
student_t3,Noise,stochastic,10000,Noise,0.6411960132890365,,nan,1.0036245750692272,-0.006988350171914621,1.1345609582113507,0.4149081770642465,1.5451087076757117,0.598976705154474,0.02829371553957797,0.999186941675033,0.005322259610387078,False,1.0,synthetic,
white_noise_1,Noise,stochastic,10000,Noise,0.7774086378737541,,nan,0.9980232714856911,1.22710708987198,-0.01982868419664633,-0.11515344600297728,0.7061756090976553,0.590269417368762,0.02397568805290509,0.9988550446447153,0.005551765490602173,False,1.0,synthetic,
white_noise_2,Noise,stochastic,10000,Noise,0.4717607973421927,,nan,0.9903701542122159,1.918671488844218,-0.4130335671035008,-0.11515344600297728,0.23647975867666735,0.20751903873681837,0.03101503040360067,0.9987203221689577,0.0053640829036715,False,1.0,synthetic,
white_noise_3,Noise,stochastic,10000,Noise,0.4850498338870432,,nan,1.0019107564347534,0.28198370082519175,-0.17050973508353534,1.2064134134076028,0.7626577579971979,1.8787248574770157,0.02900714266322007,0.9987968553293707,0.004605055954695189,False,1.0,synthetic,
white_uniform,Noise,stochastic,10000,Noise,0.34551495016611294,,nan,0.9980019755747127,-0.23029345598580747,0.5782223930248146,0.09006841104595971,0.1634623281766962,2.189985842483672,0.02522091352236244,0.9988886530020242,0.005097857565287255,False,1.0,synthetic,
